Ticker,Name,Country,Financial Currency,Sector Key,Industry Key,Market Cap,Current Asset,Non Current Asset,Total Liabilities,Net Income,ROIC,Final Value,Margin
LYV,"Live Nation Entertainment, Inc.",United States,USD,communication-services,entertainment,22355079168,9577754000.0,9496291000.0,17593179000.0,"[563280000.0, 295986000.0]","[0.1553810418386517, 0.1146408156100701]",-309976674.6304245,-72.11858503435222
IFF,International Flavors & Fragrances Inc.,United States,USD,basic-materials,specialty-chemicals,25455941632,6293000000.0,24685000000.0,16336000000.0,"[-2565000000.0, -1868000000.0]","[-0.08816987666919884, -0.05165352502519315]",-14833736959.809162,-1.7160842005605776
YUM,"Yum! Brands, Inc.",United States,USD,consumer-cyclical,restaurants,39895990272,1609000000.0,4622000000.0,14089000000.0,"[1597000000.0, 1325000000.0]","[0.6229505974631536, 0.598060793662969]",710290993518.9033,17.803568445759403
ROP,"Roper Technologies, Inc.",United States,USD,technology,software-application,58006618112,1481400000.0,26686100000.0,10722700000.0,"[1384200000.0, 4544700000.0]","[0.06299482998348879, 0.049935764218383444]",1942604.4490470886,3.348935883999099e-05
IR,Ingersoll Rand Inc.,United States,USD,industrials,specialty-industrial-machinery,37377974272,4050400000.0,11513100000.0,5716800000.0,"[778700000.0, 604700000.0]","[0.07286297160902393, 0.05649281130093571]",3952168517.738392,0.10573522494767669
PDD,PDD Holdings Inc.,Ireland,CNY,consumer-cyclical,internet-retail,203024302080,294750472000.0,53327648000.0,160836513000.0,"[60026544000.0, 31538062000.0]","[0.311036960435629, 0.23821754534662962]",2753595424427.007,13.562885803404836
LDOS,"Leidos Holdings, Inc.",United States,USD,technology,information-technology-services,20101967872,4005000000.0,8690000000.0,8437000000.0,"[199000000.0, 685000000.0]","[0.035733350764236144, 0.09205458743193283]",-3006688809.471407,-6.685749389386938
MNST,Monster Beverage Corporation,United States,USD,consumer-defensive,beverages-non-alcoholic,56719728640,5588996000.0,4097526000.0,1457778000.0,"[1630988000.0, 1191624000.0]","[0.18717448498212233, 0.17100176596644043]",36788991339.42343,0.6486101436225671
DGX,Quest Diagnostics Incorporated,United States,USD,healthcare,diagnostics-research,16035018752,2372000000.0,11650000000.0,7604000000.0,"[854000000.0, 946000000.0]","[0.09052171034824347, 0.1091181889650213]",3294031837.680664,0.2054273767076081
ETSY,"Etsy, Inc.",United States,USD,consumer-cyclical,internet-retail,7480204288,1570446000.0,1114954000.0,3229115000.0,"[307568000.0, -694288000.0]","[0.18522892975129793, -0.39219684780880304]",-1260932962.1237688,-5.932277537896395
VMC,Vulcan Materials Company,United States,USD,basic-materials,building-materials,34266494976,2524900000.0,12020800000.0,7037800000.0,"[933200000.0, 575600000.0]","[0.09634944209269213, 0.0662916594010065]",3350175539.544071,0.09776825852455903
DTE,DTE Energy Company,United States,USD,utilities,utilities-regulated-electric,24128851968,3539000000.0,41216000000.0,33700000000.0,"[1397000000.0, 1083000000.0]","[0.06595058822831926, 0.058906636748479034]",-20292136613.986523,-1.1890739958535954
IP,International Paper Company,United States,USD,consumer-cyclical,packaging-containers,14115572736,6608000000.0,16653000000.0,14906000000.0,"[288000000.0, 1504000000.0]","[0.04867912530761227, 0.15721396319008712]",-5339917520.475122,-2.6434065099088007
TT,Trane Technologies plc,Ireland,USD,industrials,building-products-equipment,74388324352,6869900000.0,12522000000.0,12374900000.0,"[2023900000.0, 1756500000.0]","[0.19175164305143333, 0.18133085548611205]",37655911357.62797,0.5062072803178495
SBUX,Starbucks Corporation,United States,USD,consumer-cyclical,restaurants,88180695040,7303400000.0,22142100000.0,37433300000.0,"[4124500000.0, 3281600000.0]","[0.6137472384362307, 0.5772280210329777]",1669595912229.5957,18.93380304467144
CRL,"Charles River Laboratories International, Inc.",United States,USD,healthcare,diagnostics-research,11415507968,1608662000.0,6586339000.0,4536003000.0,"[474624000.0, 486226000.0]","[0.09502621071860717, 0.0949168293759436]",1606341240.8319035,0.1407157040523125
SRE,Sempra,United States,USD,utilities,utilities-diversified,49469571072,5470000000.0,81711000000.0,53527000000.0,"[3075000000.0, 2139000000.0]","[0.054395694344182115, 0.025471857278452324]",-30519200264.135635,-1.62093274541449
CPRT,"Copart, Inc.",United States,USD,industrials,specialty-business-services,52399681536,3262604000.0,3475275000.0,750439000.0,"[1237741000.0, 1090130000.0]","[0.19735170485113357, 0.24155210072450214]",37213779623.33349,0.7101909502592418
SYK,Stryker Corporation,United States,USD,healthcare,medical-devices,127496347648,12518000000.0,27394000000.0,21319000000.0,"[3165000000.0, 2358000000.0]","[0.10655231642380676, 0.09012652479292488]",22374438776.52278,0.17549082141784603
AVY,Avery Dennison Corporation,United States,USD,consumer-cyclical,packaging-containers,18229233664,2796000000.0,5413800000.0,6081900000.0,"[503000000.0, 757100000.0]","[0.10966873389803304, 0.1598692541725627]",3580288806.431839,0.1964036926852483
EMR,Emerson Electric Co.,United States,USD,industrials,specialty-industrial-machinery,64578641920,13819000000.0,28927000000.0,16148000000.0,"[13219000000.0, 3231000000.0]","[0.08079626070062444, 0.09931195149001833]",118383516240.85382,1.8331682537936813
LIN,Linde plc,United Kingdom,USD,basic-materials,specialty-chemicals,207919284224,12620000000.0,68191000000.0,39716000000.0,"[6199000000.0, 4147000000.0]","[0.10988123072700703, 0.07366639907838189]",30411107580.259186,0.1462640066974069
