Ticker,Name,Country,Financial Currency,Sector Key,Industry Key,Market Cap,Market Cap History,Stock Price,Dividends,Current Asset,Non Current Asset,Total Liabilities,Net Income,ROIC,Final Value,Margin
009410.KS,"Taeyoung Engineering & Construction Co.,Ltd.",South Korea,KRW,N/A,N/A,89838903296,"[89838903296, 153231722000.0, 334465180000.0, 486141250000.0]","[2310.0, 3940.0, 8600.0, 12500.0]","[0.0, 0.0, 0.0, 0.0]","[2909100838300.0, 2251456331190.0, 2009714808340.0, 2501226776940.0]","[2372135121950.0, 2400474133510.0, 1725068386660.0, 1297044153310.0]","[5842979816290.0, 3633240698980.0, 3025556021610.0, 3151457432490.0]","[-1563337825420.0, 24795085150.0, 75118161420.0, 556835635290.0]","[NaN, NaN, 0.04249428551790518, 0.08512904663731943]",,
047050.KS,Posco International Corporation,South Korea,KRW,N/A,N/A,7840424001536,"[7840424001536, 4891742800000.0, 3903167600000.0, 3613412800000.0]","[46000.0, 28700.0, 22900.0, 21200.0]","[0.0, 0.0, 0.0, 0.0]","[8077259886000.0, 7319472229000.0, 7155183542000.0, 4764575099000.0]","[8540488122000.0, 5196864702000.0, 3615550605000.0, 3563463637000.0]","[9992986028000.0, 8118209853000.0, 7258594219000.0, 5167165003000.0]","[673885685000.0, 589749886000.0, 360789119000.0, 238556764000.0]","[0.07487798543003622, 0.0847671224600483, 0.058032082839598466, 0.05097672440887607]",3684213183860.8984,0.4698997379655912
002200.KS,"Korea Export Packaging Industrial Co.,Ltd",South Korea,KRW,N/A,N/A,96750002176.0,"[96750002176, 121875000000.0, 95437500000.0, 99000000000.0]","[2580.0, 3250.0, 2545.0, 2640.0]","[0.0, 0.0, 0.0, 0.0]","[155568917240.0, 143085577830.0, 125320518200.0, 99702324990.0]","[201435072830.0, 202435762260.0, 206526348750.0, 209381183730.0]","[61282437740.0, 64604055300.0, 68488033300.0, 56511275850.0]","[19041696090.0, 20317167710.0, 15859236390.0, 8353900710.0]","[0.0644741416447585, 0.07223558964126825, 0.060141917837432536, 0.03342962103397533]",236497777572.33783,2.44442141863852
015760.KS,Korea Electric Power Corporation,South Korea,KRW,N/A,N/A,12903477411840.0,"[12903477411840, 11959789916160.0, 14572583526400.0, 15984904396800.0]","[20100.0, 18630.0, 22700.0, 24900.0]","[0.0, 0.0, 0.0, 0.0]","[29536215000000.0, 29750545000000.0, 22050845000000.0, 20561941000000.0]","[210178750000000.0, 205054449000000.0, 189072882000000.0, 182580170000000.0]","[202450215000000.0, 192804738000000.0, 145797021000000.0, 132475265000000.0]","[-4822549000000.0, -24466853000000.0, -5304522000000.0, 1992077000000.0]","[NaN, NaN, NaN, 0.04689521269483228]",,
011500.KS,Hannong Chemicals Inc.,South Korea,KRW,N/A,N/A,247762796544.0,"[247762796544, 276209640000.0, 250821600000.0, 214880700000.0]","[16200.0, 18060.0, 16400.0, 14050.0]","[0.0, 0.0, 0.0, 0.0]","[98381218670.0, 104679892580.0, 104103203480.0, 72555266840.0]","[138988307730.0, 120735290230.0, 112866487490.0, 98815768560.0]","[74790088790.0, 72824106640.0, 69259917540.0, 40522139560.0]","[12399220570.0, 8571221420.0, 19695591320.0, 12986053110.0]","[0.07048317906917408, 0.04308566817738891, 0.10274579287877703, 0.092442657703285]",106639586952.85596,0.4304100068305369
014680.KS,"Hansol Chemical Co., Ltd.",South Korea,KRW,N/A,N/A,1994995138560.0,"[1994995138560, 2578758000000.0, 3015163200000.0, 2686442400000.0]","[176000.0, 227500.0, 266000.0, 237000.0]","[0.0, 0.0, 0.0, 0.0]","[367414633780.0, 386120253270.0, 411301736920.0, 307726380790.0]","[983565029360.0, 867190349360.0, 785873032100.0, 691474121110.0]","[409492209830.0, 400814014220.0, 429305067610.0, 376929963900.0]","[105346205720.0, 155126757560.0, 148337744290.0, 122714322430.0]","[0.10039151294357873, 0.16845168978349057, 0.16884072351533402, 0.1598471438415643]",1391551904195.436,0.6975214512050726
004710.KS,"Hansol Technics Co., Ltd.",South Korea,KRW,N/A,N/A,185363251200.0,"[185363251200, 223692600000.0, 203585400000.0, 275845650000.0]","[5900.0, 7120.0, 6480.0, 8780.0]","[0.0, 0.0, 0.0, 0.0]","[389310521190.0, 509415530330.0, 467995886640.0, 311128308060.0]","[564724486050.0, 562506370350.0, 320674466140.0, 280264077050.0]","[479360236350.0, 631895650670.0, 510394100440.0, 312289415220.0]","[43232555540.0, 14717027940.0, -9330236940.0, 26212356900.0]","[0.08305127495199144, 0.07889071054545999, NaN, 0.07112361419213596]",273048786765.151,1.4730470306141836
300720.KS,"Hanil Cement Co., Ltd.",South Korea,KRW,N/A,N/A,971738906624.0,"[971738906624, 916329697920.0, 1371377779200.0, 1146277891200.0]","[14030.0, 13230.0, 19800.0, 16550.0]","[NaN, NaN, NaN, NaN]","[856337708560.0, 630383484040.0, 602918548500.0, 666684816390.0]","[2011587655810.0, 1830453387850.0, 1767409358940.0, 1732977925250.0]","[1148706828720.0, 885820287170.0, 911950414990.0, 1041417958220.0]","[170154620370.0, 78793499000.0, 78642216870.0, 95016209830.0]","[0.0884872003088375, 0.052063537407780046, 0.05406634692660397, 0.06031623001205571]",1001445941024.2256,1.030571004410468
051600.KS,"KEPCO Plant Service & Engineering Co.,Ltd.",South Korea,KRW,N/A,N/A,1649250009088.0,"[1649250009088, 1588500000000.0, 1660500000000.0, 1836000000000.0]","[36650.0, 35300.0, 36900.0, 40800.0]","[0.0, 0.0, 0.0, 0.0]","[968483212470.0, 868119118280.0, 800114355860.0, 760018569390.0]","[628850338350.0, 693903077060.0, 626805766180.0, 589850522070.0]","[324737142890.0, 346288975190.0, 314925081580.0, 298187344930.0]","[162677358110.0, 100181885210.0, 98680258800.0, 87058306920.0]","[0.12832628364170098, 0.08293466424997455, 0.08922903367195999, 0.08308920651475843]",2355732285510.154,1.4283657859810008
009460.KS,"Hanchangpaper co., Ltd",South Korea,KRW,N/A,N/A,48927350784.0,"[48927350784, 81028465000.0, 124108400000.0, 143500337500.0]","[820.0, 1358.0, 2080.0, 2405.0]","[NaN, NaN, NaN, NaN]","[108408655040.0, 103712969660.0, 122053788150.0, 92686913350.0]","[180486834360.0, 179349481490.0, 126543786070.0, 88394640250.0]","[197857870800.0, 172631641520.0, 140052513950.0, 86371983480.0]","[-17494819300.0, 1260744010.0, 15021665980.0, 10589706860.0]","[NaN, 0.017229199961052728, 0.07873768766078947, 0.0837855240006974]",,
042660.KS,"Hanwha Ocean Co., Ltd.",South Korea,KRW,N/A,N/A,9282192932864.0,"[9282192932864, 7667842674318.1875, 5497949931099.75, 8932504393746.562]","[30300.0, 25030.251953125, 17947.0390625, 29158.505859375]","[NaN, NaN, NaN, NaN]","[9217523943520.0, 7822464527780.0, 6481079243770.0, 5953237429080.0]","[4727248748870.0, 4413200777080.0, 4142130311290.0, 4367537424720.0]","[9632615571690.0, 11490693372910.0, 8405626102180.0, 6451804192840.0]","[159885949580.0, -1744778447650.0, -1699829429730.0, 86572614370.0]","[NaN, NaN, NaN, 0.0374648552640506]",,
453340.KS,"Hyundai Green Food Co., Ltd",South Korea,KRW,N/A,N/A,409930760192.0,"[409930760192, 420085946000.0, NaN, NaN]","[12110.0, 12410.0, NaN, NaN]","[NaN, NaN, NaN, NaN]","[378556857000.0, NaN, NaN, NaN]","[501760346000.0, NaN, NaN, NaN]","[251806216000.0, NaN, NaN, NaN]","[39272135000.0, NaN, NaN, NaN]","[0.06313794647051948, NaN, NaN, NaN]",,
086280.KS,"Hyundai Glovis Co., Ltd.",South Korea,KRW,N/A,N/A,7042500132864.0,"[7042500132864, 6555000000000.0, 7668750000000.0, 6993750000000.0]","[187800.0, 174800.0, 204500.0, 186500.0]","[0.0, 0.0, 0.0, 0.0]","[8771518130990.0, 8181858080890.0, 6968211360170.0, 5950125369970.0]","[5953501772940.0, 5695926419400.0, 5202716882580.0, 4948579066650.0]","[6941096283680.0, 6998172212330.0, 6358516107410.0, 5832335783460.0]","[1061133294850.0, 1189821184510.0, 782897006410.0, 606201149650.0]","[0.12208089623403301, 0.14182111027662028, 0.10592805023293576, 0.09197108664695205]",15959680555275.18,2.266195279258702
011760.KS,Hyundai Corporation,South Korea,KRW,N/A,N/A,258236497920.0,"[258236497920, 230370980000.0, 223404600000.0, 240820550000.0]","[21500.0, 19180.0, 18600.0, 20050.0]","[0.0, 0.0, 0.0, 0.0]","[1337933198380.0, 1235214844760.0, 1111409837550.0, 659299190460.0]","[721779374580.0, 596086956790.0, 595973338050.0, 559760101720.0]","[1479068054330.0, 1394707519470.0, 1344552871650.0, 904594888610.0]","[83687114750.0, 78715077810.0, 37789612140.0, 49305227170.0]","[0.07518458577637042, 0.08350691203224003, 0.036590289887535564, 0.07058134851195873]",551234116128.8545,2.1346096332967748
001450.KS,"Hyundai Marine & Fire Insurance Co., Ltd.",South Korea,KRW,N/A,N/A,2556312682496.0,"[2556312682496, 2709220836800.0, 2403404302400.0, 1885868628800.0]","[32600.0, 34550.0, 30650.0, 24050.0]","[0.0, 0.0, 0.0, 0.0]","[NaN, NaN, NaN, NaN]","[NaN, NaN, NaN, NaN]","[38032594522810.0, 36744509270260.0, 47809992570170.0, 44389432859040.0]","[607828607000.0, 1294975508000.0, 432572359100.0, 331853924430.0]","[0.10952883438565827, 0.13106934245454827, 0.07455870643197475, 0.06301112229544815]",,
003010.KS,Haein Corporation,South Korea,KRW,N/A,N/A,58363269120.0,"[58363269120, 70616331000.0, 105010891000.0, 77495243000.0]","[5430.0, 6570.0, 9770.0, 7210.0]","[0.0, 0.0, 0.0, 0.0]","[176765036630.0, 164239140490.0, 115179184380.0, 123496293560.0]","[77195550340.0, 76283005130.0, 79559069660.0, 84386600500.0]","[139149134640.0, 132475114230.0, 92754854850.0, 109699110500.0]","[7404407300.0, -2108415200.0, 5451596570.0, 5252210120.0]","[0.06219454575620748, 0.026482469223860775, 0.04145143555767666, 0.042769464123082496]",81668991084.18436,1.3993217363521182
